"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"INF-001-T1","Infra Setup: Initialize Terraform Project","Initialize a Terraform project within the `infrastructure/` directory. Configure the AWS provider, set up the S3 backend for remote state management with locking via DynamoDB, and create `dev`, `staging`, and `prod` workspaces.","Task","Sprint Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-11-08","6","1","devops,terraform,aws","Sprint 1","Establish foundational infrastructure, user authentication, and core calculator functionality.","User Account & Authentication","EPIC-001","Electronics Calculator SPA","US-053","","Terraform,AWS S3,AWS DynamoDB","Low","Low","`terraform init` runs successfully and configures the S3 backend. The `dev`, `staging`, and `prod` workspaces are created and can be selected.","Terraform project structure created; `backend.tf` and `provider.tf` committed; Workspaces verified.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","None","AWS Account Access","Successful execution of Terraform CLI commands.","First infrastructure task, critical path.","Enables all subsequent infrastructure-as-code deployments."
"FE-001-T1","FE Setup: Initialize React Project with Vite and TypeScript","Scaffold a new React project using Vite with the TypeScript template. Configure `tsconfig.json`, ESLint, and Prettier for a consistent and high-quality development environment.","Task","Sprint Backlog","Critical","frontend.dev1@company.com","product.owner@company.com","2024-11-08","3","1","frontend,setup,react,vite","Sprint 1","Establish foundational infrastructure, user authentication, and core calculator functionality.","User Account & Authentication","EPIC-001","Electronics Calculator SPA","US-053","","React,Vite,TypeScript,npm","Low","Low","The development server can be started with `npm run dev`. Linting and formatting are configured and can be run via npm scripts.","React project structure in `client/` directory is committed; `package.json` and config files are finalized.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","None","Node.js environment","Successful execution of `npm run dev` and `npm run lint`.","First step for all frontend development.","Creates the frontend codebase and development environment."
"BE-001-T1","BE Setup: Initialize NestJS Backend Project","Scaffold a new NestJS project using the Nest CLI. Configure basic settings, including `tsconfig.json`, `.eslintrc.js`, and Prettier for code consistency.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-08","3","1","backend,setup,nestjs","Sprint 1","Establish foundational infrastructure, user authentication, and core calculator functionality.","User Account & Authentication","EPIC-001","Electronics Calculator SPA","US-053","","NestJS,TypeScript,npm","Low","Low","The NestJS application can be started locally via `npm run start:dev`. Linting and testing scripts run successfully.","NestJS project structure in `server/` directory is committed; `package.json` and config files finalized.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","None","Node.js environment","Successful execution of npm scripts.","First step for all backend development.","Creates the backend codebase and development environment."
"INF-002-T1","Terraform: Define AWS Cognito User Pool and App Client","Write and test Terraform configuration to provision the AWS Cognito User Pool, including password policy (REQ-1-071) and App Client for the SPA with OAuth 2.0 Auth Code + PKCE flow.","Infrastructure","Sprint Backlog","Critical","devops.lead@company.com","product.owner@company.com","2024-11-08","13","2","devops,terraform,aws,cognito,security","Sprint 1","Establish foundational infrastructure, user authentication, and core calculator functionality.","User Account & Authentication","EPIC-001","Electronics Calculator SPA","US-053","INF-001-T1","Terraform,AWS Cognito,OAuth 2.0","Medium","High","Terraform apply creates User Pool and App Client. Password policy and PKCE flow are correctly configured.","`cognito.tf` Terraform file is committed and successfully applied.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","Frontend team for callback URLs","AWS","Review of AWS Console resources and successful `terraform apply`.","Critical for enabling authentication.","Provisions the core identity management system for the application."
"FE-008-T1","Analysis & Library Selection for Expression Evaluation","Evaluate third-party JavaScript math libraries (e.g., math.js) for parsing and evaluating mathematical expressions based on features, performance, and bundle size.","Analysis","Sprint Backlog","High","frontend.dev1@company.com","product.owner@company.com","2024-11-08","6","1","frontend,analysis,architecture","Sprint 1","Establish foundational infrastructure, user authentication, and core calculator functionality.","Core Calculator Functionality","EPIC-002","Electronics Calculator SPA","US-001","FE-001-T1","TypeScript,JavaScript","Low","Low","A comparison matrix of at least two libraries is created. A final library is selected and the decision is documented.","Decision document/ADR is created; library is added to `package.json`.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","Team review","","N/A","Decision impacts all calculation logic.","Ensures a robust and performant foundation for all calculator features."
"FE-008-T2","Implement Expression Evaluation Service","Create a TypeScript service that wraps the selected math library to evaluate expression strings, handle order of operations, and manage errors like division by zero.","Task","Sprint Backlog","Critical","frontend.dev2@company.com","product.owner@company.com","2024-11-08","13","2","frontend,core,logic","Sprint 1","Establish foundational infrastructure, user authentication, and core calculator functionality.","Core Calculator Functionality","EPIC-002","Electronics Calculator SPA","US-001","FE-008-T1","TypeScript,Algorithm Design","Medium","Medium","The `evaluate` function correctly calculates expressions following PEMDAS. It throws specific errors for syntax issues and division by zero.","`evaluationEngine.ts` module created; Unit tests achieve >90% coverage.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","None","","Extensive unit tests for various expressions and error cases.","Core logic for the entire calculator.","Provides the brain for all calculations performed in the application."
"US-001-Integration","Integrate Core Calculator Components","Assemble the `CalculatorDisplay`, `Keypad`, and `HistoryPanel` components into a cohesive view. Ensure state changes are correctly reflected and the evaluation engine is triggered.","Integration","Sprint Backlog","Critical","frontend.dev1@company.com","product.owner@company.com","2024-11-08","6","1","frontend,integration,ui","Sprint 1","Establish foundational infrastructure, user authentication, and core calculator functionality.","Core Calculator Functionality","EPIC-002","Electronics Calculator SPA","US-001","FE-006-T1,FE-007-T1,FE-010-T1,FE-001-S1","React,Redux Toolkit,TypeScript","Low","Low","The integrated calculator view is functional. User can type an expression, calculate it, and see the result and history update.","`CalculatorPage.tsx` or similar container component is implemented and functional.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","None","","Successful E2E testing of the full feature.","Delivers the first user-visible feature.","Assembles the individual components into a usable core calculator."
"BE-008-T2","Backend: Implement CustomModes Controller (API Endpoints)","Implement the `CustomModesController` to expose CRUD logic via RESTful API endpoints, protected by the `JwtAuthGuard`.","Task","Sprint Backlog","Critical","backend.dev1@company.com","product.owner@company.com","2024-11-22","8","1","backend,api,nestjs,security","Sprint 2","Enable full persistence of user data (History, Custom Modes) and build the UI for creating custom modes.","User Data Persistence","EPIC-003","Electronics Calculator SPA","US-056","BE-008-T1,SEC-002-T1","NestJS,TypeScript","Low","Medium","All five CRUD endpoints are defined. `JwtAuthGuard` is applied. Request DTOs with `class-validator` are used.","`custom-modes.controller.ts` and DTO files are implemented and tested.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","Frontend team for API contract","","Passing integration tests for the controller.","Exposes the core custom mode functionality to the client.","Provides the API for the frontend to manage user-created custom modes."
"FE-010-T2","Frontend: Implement History Panel with Persistence","Enhance the `HistoryPanel` component to handle both anonymous (session-based) and registered (API-based) users. On login, it should fetch history via RTK Query. New calculations for logged-in users should trigger a `POST` request.","Task","Sprint Backlog","Critical","frontend.dev1@company.com","product.owner@company.com","2024-11-22","15","3","frontend,react,redux,persistence","Sprint 2","Enable full persistence of user data (History, Custom Modes) and build the UI for creating custom modes.","User Data Persistence","EPIC-003","Electronics Calculator SPA","US-012","FE-010-T1,BE-010-T2","React,Redux Toolkit,RTK Query,TypeScript","Medium","High","For anonymous users, history is session-based. For logged-in users, history is fetched from the API. New calculations are persisted for logged-in users.","Updated `HistoryPanel.tsx` and RTK Query service definitions are implemented and tested.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","Backend team for API integration","","E2E testing of both anonymous and registered user flows.","High risk due to complexity of switching between anonymous and authenticated states.","Delivers a key value proposition for user registration: persistent calculation history."
"FE-US041-T1","Frontend: Implement Multi-Step Wizard UI Framework","Develop a reusable React component for a multi-step wizard to manage the creation of custom modes, including state management and navigation between steps.","Task","Sprint Backlog","High","frontend.dev2@company.com","product.owner@company.com","2024-11-22","13","2","frontend,react,ui,wizard","Sprint 2","Enable full persistence of user data (History, Custom Modes) and build the UI for creating custom modes.","User-Extensible Functionality","EPIC-004","Electronics Calculator SPA","US-041","","React,TypeScript,Redux Toolkit","Medium","Low","The wizard displays one step at a time. 'Next' and 'Back' buttons work. State is preserved when navigating.","`Wizard.tsx` component and associated hooks are implemented and tested.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-11-11","2024-11-22","100%","None","","Component tests and visual inspection.","A foundational component for the custom mode creation flow.","Provides the user interface framework for the app's flagship feature."
