"sprint_number","sprint_name","sprint_goal","start_date","end_date","duration_days","total_story_points","estimated_hours","team_capacity_hours","capacity_utilization","task_count","epic_coverage","key_deliverables","demo_objectives","success_criteria","risk_factors","mitigation_strategies","dependencies_resolved","team_members","external_dependencies","integration_windows","review_schedule","retrospective_date","burndown_target"
"1","Sprint 1: Foundation & Authentication","Establish foundational infrastructure, user authentication, and core application shell.","2024-10-28","2024-11-08","10","23","212.5","240","88.5%","13","Infrastructure, User Experience, User Account Management, Core Calculator, Compliance","Functional user registration & login via Cognito; Responsive app shell; Basic arithmetic calculator; Deployed VPC and Cognito infrastructure.","Show responsive layout on mobile/desktop. Demonstrate user registration, logout, and login. Perform a basic calculation.","User authentication flow is end-to-end testable. Core infrastructure is provisioned. Basic calculator is functional.","RISK-004 (Terraform misconfiguration), RISK-005 (DevOps bottleneck).","Mandatory peer reviews for all Terraform code. Pair programming on critical infrastructure tasks.","true","devops.lead@acme.com,backend.dev@acme.com,frontend.dev1@acme.com,frontend.dev2@acme.com","AWS service availability.","Frontend/Backend integration for auth flow on Day 5-9.","2024-11-08 at 2 PM","2024-11-08","Linear burndown, aiming for 50% completion by day 5."
"2","Sprint 2: Scientific Core & Database","Implement core scientific calculator functions and establish the backend database and CI/CD testing.","2024-11-11","2024-11-22","10","14","110.1","240","45.9%","14","Core Calculator Features, Infrastructure, Backend Service","Trigonometric functions with angle mode switching. Input parsing for SI prefixes. Deployed Multi-AZ RDS database. CI pipeline with integration testing.","Demonstrate sin(90) in DEG mode = 1. Demonstrate sin(pi/2) in RAD mode = 1. Show input of '1.5k' being used in a calculation.","All core scientific functions are implemented and tested. Database is provisioned and accessible. CI pipeline automatically runs integration tests.","Incorrect DB configuration (RISK-004). Complexity of CI service container setup.","IaC scanning tools in pipeline. Allocate dedicated time for pipeline debugging.","true","devops.lead@acme.com,backend.dev@acme.com,frontend.dev1@acme.com,frontend.dev2@acme.com","","CI pipeline validation with backend codebase on Day 3-6.","2024-11-22 at 2 PM","2024-11-22","Linear burndown."
"3","Sprint 3: User Data Persistence","Deliver persistent user data by implementing calculation history and user-defined variables for registered users.","2024-11-25","2024-12-06","10","21","169.7","240","70.7%","10","User Data Management, Infrastructure","Persistent calculation history. Ability to define and save variables. Deployed ECS cluster, ALB, and basic API Gateway.","Log in, perform calculations, refresh page, show history is still present. Define a variable, use it in a calculation.","History and variable data are successfully saved to and retrieved from the database for logged-in users. Core compute infrastructure is live.","API design mismatch between frontend and backend. Complexity of deploying ECS services via Terraform.","Finalize API contracts on Day 1. Pair programming for ECS service deployment.","true","devops.lead@acme.com,backend.dev@acme.com,frontend.dev1@acme.com,frontend.dev2@acme.com","","Full-stack integration of persistence features on Day 4-9.","2024-12-06 at 2 PM","2024-12-06","Linear burndown."
"4","Sprint 4: Data Management & Deployable Backend","Complete the core data management features and achieve a fully deployable backend service.","2024-12-09","2024-12-20","10","13","127.1","240","53.0%","10","User Data Management, Infrastructure","Full memory functions (M+, M-, MR, MC). Variable management (list, edit, delete). End-to-end API Gateway integration with ECS.","Demonstrate full M+, MR, M-, MC workflow with persistence. Show the list of saved variables, edit one, and delete another.","All core data management CRUD operations are functional. The backend service is fully deployed and accessible via the API Gateway.","RISK-004 (API Gateway security). Complexity of API Gateway VPC Link integration.","Security review of API Gateway configuration. Allocate buffer time for integration debugging.","true","devops.lead@acme.com,backend.dev@acme.com,frontend.dev1@acme.com,frontend.dev2@acme.com","","API Gateway E2E testing on Day 5-8.","2024-12-20 at 2 PM","2024-12-20","Linear burndown."
"5","Sprint 5: Scientific Functions Polish","Finalize the core scientific calculator feature set by adding remaining math functions, constants, and undo/redo capabilities.","2025-01-06","2025-01-17","10","9","72","240","30.0%","6","Core Calculator Features","Logarithmic, exponential, power, root, and factorial functions. Undo/Redo functionality.","Calculate log(100), 2^8, sqrt(64), 5!. Demonstrate undoing and redoing a typed expression.","All scientific functions from REQ-1-001 are implemented and tested. Undo/Redo works as expected.","Parser complexity for factorial operator precedence.","Extensive unit testing for the expression parser.","true","frontend.dev1@acme.com,frontend.dev2@acme.com","","","2025-01-17 at 2 PM","2025-01-17","Linear burndown."
"6","Sprint 6: Custom Mode Foundation","Build the foundational framework for Custom Modes, including the creation wizard (steps 1 & 2), the management list view, and backend persistence.","2025-01-20","2025-01-31","10","20","160","240","66.7%","4","Custom Mode Management, User Data Management","A multi-step wizard for creating custom modes. UI to define name, description, and variables. A management screen listing all user-created modes. Backend persistence for custom modes.","Start the 'Create New Mode' wizard. Define a name and several input/output variables. Save the draft and see it appear in the 'My Modes' list.","Users can create and save the basic structure of a custom mode. The list of modes is correctly fetched and displayed.","Complexity of the dynamic wizard UI state management.","Use a state machine library or well-defined Redux slices to manage wizard state.","true","backend.dev@acme.com,frontend.dev1@acme.com,frontend.dev2@acme.com","","API integration for CRUD on custom modes on Day 4-9.","2025-01-31 at 2 PM","2025-01-31","Linear burndown."
"7","Sprint 7: Custom Mode Core Logic","Implement the core logic for the Custom Mode feature by building the formula editor with real-time validation.","2025-02-03","2025-02-14","10","18","144","240","60.0%","2","Custom Mode Management","A formula editor with syntax highlighting. Real-time client-side validation for formula syntax, undefined variables, and disallowed functions.","In the wizard, type a valid formula and see a success indicator. Type an invalid formula (e.g., using an undefined variable) and see a real-time error message.","The formula editor provides immediate, helpful feedback to the user, preventing the submission of invalid formulas.","RISK-001 (Sandbox security), complexity of integrating a math parser for real-time validation.","Choose a well-vetted parsing library. Rigorous security review of the sandbox implementation.","true","backend.dev@acme.com,frontend.dev1@acme.com","","","2025-02-14 at 2 PM","2025-02-14","Linear burndown."
"8","Sprint 8: Custom Mode Lifecycle","Complete the Custom Mode lifecycle by enabling users to launch, use, edit, and delete their creations.","2025-02-17","2025-02-28","10","16","128","240","53.3%","3","Custom Mode Management","Ability to launch a custom mode and see a dynamically generated UI. Ability to execute calculations using the secure backend sandbox. Ability to edit and delete existing modes.","Launch a custom mode, enter values, and see the calculated result. Edit a mode's formula and see the change reflected in a new calculation. Delete a mode.","The full CRUD lifecycle for custom modes is complete and functional. End-to-end formula execution meets performance and security requirements.","RISK-003 (Lambda cold start latency).","Configure provisioned concurrency for the formula execution Lambda.","true","backend.dev@acme.com,frontend.dev1@acme.com,frontend.dev2@acme.com","","End-to-end testing of formula execution on Day 3-8.","2025-02-28 at 2 PM","2025-02-28","Linear burndown."
"9","Sprint 9: Advanced Electronics Features","Launch the first set of Advanced Electronics Features: the Ohm's Law calculator and the Resistor Combination tool (Series & Parallel).","2025-03-03","2025-03-14","10","11","88","240","36.7%","7","Advanced Electronics Features","A functional Ohm's Law mode. A functional Resistor Combination mode with series and parallel calculations.","Enter V and I in Ohm's law mode and see R and P calculated. Add several resistors to a list and calculate their series and parallel equivalents.","All electronics features for this sprint are implemented with correct calculations and validation.","Low risk, as these are self-contained frontend features.","Thorough unit testing of calculation logic.","true","frontend.dev1@acme.com,frontend.dev2@acme.com","","","2025-03-14 at 2 PM","2025-03-14","Linear burndown."
"10","Sprint 10: Offline Capabilities","Deliver a robust offline experience by implementing service worker caching and automatic data synchronization for registered users.","2025-03-17","2025-03-28","10","18","144","240","60.0%","2","Offline Capabilities","Service worker for offline application access. IndexedDB queuing for offline data changes. Automatic data sync upon reconnection with 'last-write-wins' conflict resolution.","Load app, go offline, perform calculations, reload page (should work). Go back online, show data syncing to backend.","Application is fully functional offline for core features. All data changes made offline are successfully synced to the user's account upon reconnection.","RISK-002 (Data loss from sync bugs), RISK-006 (Stale service worker cache).","Comprehensive E2E testing with network interception. Implement a UI prompt for users to refresh for new app versions.","true","frontend.dev1@acme.com,frontend.dev2@acme.com,backend.dev@acme.com","","Full-stack offline sync testing on Day 5-9.","2025-03-28 at 2 PM","2025-03-28","Linear burndown."
