"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"TASK-WI-001-01-08-01","IaC: Configure AWS Secrets Manager for DB Credentials","Use Terraform to create a secret in AWS Secrets Manager to store the master database username and password. Define an IAM policy that grants read access to this secret.","Task","Sprint Backlog","Critical","devops.lead@calc.io","project.manager@calc.io","2024-11-08","4.2","1","iac,terraform,security,aws","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","Project Scaffolding & Foundational Infrastructure","EPIC-001","Advanced Electronics Calculator","STORY-INFRA-SETUP","","Terraform,AWS Secrets Manager,IAM","Low","Low","A secret containing DB credentials is created in Secrets Manager. An IAM policy allowing read access is defined. `terraform apply` is successful.","Terraform code merged. Resources provisioned and verified in dev environment.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","Backend team for access patterns.","","Verify secret retrieval via AWS CLI with an assumed role.","Part of the initial infrastructure deployment.","Secures database credentials, a critical security best practice."
"TASK-WI-001-01-02-01","IaC: Define Networking Layer (VPC, Subnets, etc.)","Create the foundational networking infrastructure using Terraform. This includes the VPC, public/private subnets in 2+ AZs, NAT Gateways, and Security Groups.","Task","Sprint Backlog","Critical","devops.lead@calc.io","project.manager@calc.io","2024-11-08","10.7","2","iac,terraform,networking,aws","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","Project Scaffolding & Foundational Infrastructure","EPIC-001","Advanced Electronics Calculator","STORY-INFRA-SETUP","TASK-WI-001-01-08-01","Terraform,AWS VPC,AWS Networking","Medium","Medium","VPC and all related networking resources are provisioned via `terraform apply`. Resources in private subnets have outbound internet access. Security groups are defined.","Terraform code merged. All networking resources verified in AWS console.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","","","Connectivity tests from bastion hosts.","Prerequisite for almost all other AWS resources.","Creates the secure and isolated network environment for the application."
"TASK-WI-001-01-03-01","IaC: Provision PostgreSQL RDS Instance","Define and provision the AWS RDS PostgreSQL instance via Terraform, ensuring Multi-AZ, automated backups (14-day retention), PITR, and encryption at rest are enabled.","Task","Sprint Backlog","Critical","devops.lead@calc.io","project.manager@calc.io","2024-11-08","6.2","1","iac,terraform,database,aws","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","Project Scaffolding & Foundational Infrastructure","EPIC-001","Advanced Electronics Calculator","STORY-INFRA-SETUP","TASK-WI-001-01-02-01","Terraform,AWS RDS","Medium","Low","RDS instance is provisioned successfully. Configuration in AWS console matches all requirements (Multi-AZ, backups, encryption).","Terraform code merged. RDS instance verified in console.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","Backend team for connection testing.","","Verify successful application connection from a test environment.","Requires networking and secrets to be in place.","Provides the persistent, highly-available data store for the application."
"TASK-WI-001-01-04-01","IaC: Define AWS Cognito User Pool with Terraform","Create the Terraform configuration for the Cognito User Pool, specifying the password policy and app client settings for the Authorization Code flow with PKCE.","Task","Sprint Backlog","Critical","devops.lead@calc.io","project.manager@calc.io","2024-11-08","6.3","1","iac,terraform,security,auth,aws","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","Project Scaffolding & Foundational Infrastructure","EPIC-001","Advanced Electronics Calculator","STORY-INFRA-SETUP","","Terraform,AWS Cognito","Medium","Medium","Terraform code defines a Cognito User Pool with a strong password policy. An App Client is defined with PKCE enabled. `terraform apply` successfully provisions the resources.","Terraform code merged. Cognito resources verified in AWS console.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","Frontend team for callback URL configuration.","","Manual verification of settings in the AWS console.","Critical for user authentication.","Provides the managed identity provider for all user authentication and authorization."
"TASK-US-061-03","FE: Initialize React Project & Core Dependencies","Initialize the React project using Vite+TS and install all core frontend dependencies (Redux Toolkit, Material-UI, etc.). Set up basic project structure, linting, and formatting rules.","Task","Sprint Backlog","Critical","fe.lead@calc.io","project.manager@calc.io","2024-11-08","3","1","frontend,react,setup","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","Core Scientific Calculator & Frontend Shell","EPIC-002","Advanced Electronics Calculator","US-061","","React,Vite,npm","Low","Low","The project can be installed and run locally. All required libraries are in `package.json`. ESLint and Prettier are configured.","Project skeleton pushed to repository. Local development environment is functional.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","","","Successful local run and linting of the initial project.","First step for all frontend development.","Creates the codebase and development environment for the frontend application."
"TASK-US-061-01","FE: Implement Main Responsive Layout Component","Implement the main application layout with a responsive header, content area, and footer using Material-UI's grid system. This includes the collapsible 'hamburger' menu for mobile.","Task","Sprint Backlog","Critical","fe.lead@calc.io","project.manager@calc.io","2024-11-08","12","2","frontend,react,ui,responsive","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","Core Scientific Calculator & Frontend Shell","EPIC-002","Advanced Electronics Calculator","US-061","TASK-US-061-03","React,Material-UI,CSS","Medium","Medium","Layout correctly switches between single-column (mobile) and multi-column (desktop). Navigation collapses on viewports < 768px. No horizontal scrolling on mobile.","Component merged. E2E tests passing for multiple viewports.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","","","Manual testing on different browser sizes and E2E tests using Cypress's `cy.viewport()`.","Forms the UI shell for the entire SPA.","Provides the consistent, high-quality user experience required on any device."
"TASK-US-052-01","FE: Implement Registration UI Form","Create the `Register.tsx` page component with Material-UI, including fields for email, password, password confirmation, and a checkbox for ToS acceptance. Implement all required client-side validation.","Task","Sprint Backlog","Critical","fe.dev@calc.io","project.manager@calc.io","2024-11-08","8.3","1","frontend,react,auth,ui","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","User Account System & Data Persistence","EPIC-003","Advanced Electronics Calculator","US-052","TASK-US-061-01","React,Material-UI,Form Handling","Low","Low","The form renders correctly and is responsive. Client-side validation provides immediate feedback. The 'Register' button is disabled until the form is valid.","Component tests passing. Manual interaction verified.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","","","Component tests for validation logic and manual interaction testing.","Part of the user onboarding flow.","Provides the user-facing interface for account creation."
"TASK-US-052-02","FE: Implement Cognito Registration Logic","Implement the client-side service logic to handle the registration form submission. This involves initiating the redirect-based registration flow with the Cognito Hosted UI.","Task","Sprint Backlog","Critical","fe.dev@calc.io","project.manager@calc.io","2024-11-08","10.7","2","frontend,auth,cognito,oauth","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","User Account System & Data Persistence","EPIC-003","Advanced Electronics Calculator","US-052","TASK-US-052-01,TASK-WI-001-01-04-01","TypeScript,OAuth 2.0,AWS Cognito","High","Medium","Submitting the valid registration form redirects to Cognito. After successful registration, user is redirected back to the application's callback URL and a session is established.","E2E test of the full registration flow is passing.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","DevOps for Cognito configuration details.","AWS Cognito service","E2E test of the full registration flow, including redirection.","Requires correct Cognito App Client and callback URL configuration.","Implements the core logic for securely creating new user accounts."
"TASK-US-053-01","FE: Implement Login UI Form","Create the `Login.tsx` page component with fields for email and password. Implement client-side validation for required fields.","Task","Sprint Backlog","Critical","fe.lead@calc.io","project.manager@calc.io","2024-11-08","6","1","frontend,react,auth,ui","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","User Account System & Data Persistence","EPIC-003","Advanced Electronics Calculator","US-053","TASK-US-061-01","React,Material-UI","Low","Low","The form renders correctly and is responsive. The 'Log In' button is disabled if fields are empty.","Component tests passing.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","","","Component tests.","","Provides the user-facing interface for authentication."
"TASK-US-053-02","FE: Implement Cognito Login Flow (PKCE)","Implement the client-side service logic to handle the login form submission. This includes generating the `code_verifier` and `code_challenge`, redirecting to Cognito, handling the callback, and exchanging the auth code for JWTs.","Task","Sprint Backlog","Critical","fe.lead@calc.io","project.manager@calc.io","2024-11-08","12.3","2","frontend,auth,cognito,oauth,security","Sprint 1","Establish foundational AWS infrastructure and CI/CD pipelines.","User Account System & Data Persistence","EPIC-003","Advanced Electronics Calculator","US-053","TASK-US-053-01,TASK-WI-001-01-04-01","TypeScript,OAuth 2.0,AWS Cognito","High","High","Login flow correctly follows the OAuth 2.0 Auth Code with PKCE standard. Upon successful login, the application receives and securely stores tokens.","E2E test of the full login flow, inspecting network requests for PKCE parameters, is passing.","2024-10-26T10:00:00Z","2024-10-26T10:00:00Z","2024-10-28","2024-11-08","100%","DevOps for Cognito configuration.","AWS Cognito service","E2E test inspecting network requests for `code_challenge` and `code_verifier`.","Security-critical implementation.","Implements the secure logic for authenticating returning users."
